,Name,Country,MMSI,Type,Size,DWT,Year,Area
92,CROWN FORTUNE,Singapore,565919000,Oil Products Tanker,1200,2984,2009,Singapore Strait
93,LADY CLARA,Antigua Barbuda,305015000,General Cargo,1032,3637,2007,North Sea
94,MISTRAL,Colombia,730153594,Tug,280,152,2004,North Pacific Ocean
95,NOBLE 1,Comoros,620604000,General Cargo,1472,4500,1981,Aegean Sea
96,TROMS LYRA,United Kingdom,235110776,Offshore Supply Ship,1476,3650,2013,North Sea
97,MILLGARTH,United Kingdom,232002697,Tug,330,290,1997,Irish Sea and St. George's Channel
98,SEA EXPLORER,Cyprus,210112000,General Cargo,1980,9386,2012,North Sea
99,WING DART,Hong Kong,477911000,Bulk Carrier,700,63920,1993,South China Sea
100,TELAMON,Greece,237294700,Ro-Ro/Passenger Ship,1216,614,2000,Aegean Sea
101,AMETHYST,Cyprus,209223000,Chemical Tanker,1302,4282,2002,North Sea
102,COTES DE BRETAGNE,France,227003850,Suction Hopper Dredger,825,2400,1998,Bay of Biscay
103,RIG,Malta,215818000,General Cargo,1131,3200,1989,North Sea
104,GUARD,USA,366887300,Tug,429,470,1997,The Coastal Waters of Southeast Alaska and British Columbia
105,BULK VALOR,Panama,352986151,Bulk Carrier,6080,58105,2013,North Sea
106,ROBUSTE,France,227006750,Tug,300,75,1999,Celtic Sea
107,BUGSIER 7,Germany,211625350,Tug,352,170,2014,North Sea
108,GALILEUSZ,Cyprus,210095000,Ro-Ro/Passenger Ship,3450,7330,1992,Baltic Sea
109,TOKYO BAY,Liberia,636016074,Container Ship,11653,80578,2013,North Sea
110,ESVAGT CONTENDER,Denmark,219011205,Standby Safety Vessel,552,640,2008,North Sea
111,BOA SUB C,Norway,257342000,Multi Purpose Offshore Vessel,4140,12036,2007,Bay of Biscay
112,GRANDE AFRICA,Malta,215751000,Vehicles Carrier,6848,27965,1998,North Atlantic Ocean
113,STENA SPIRIT,Cyprus,210331000,Ro-Ro/Passenger Ship,5280,4500,1988,Baltic Sea
114,EBENEZER,Australia,503000370,General Cargo,336,1000,1996,Tasman Sea
115,BLUE STAR PAROS,Greece,239924000,Ro-Ro/Passenger Ship,2356,1896,2002,Aegean Sea
116,SVITZER CECILIA,United Kingdom,232003119,Tug,330,205,1991,North Sea
117,FIGARO,Sweden,266338000,Vehicles Carrier,7392,30140,2011,North Sea
